PLATFRMID,NAME,TYPE,STATUS,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,COMPLEXID,NOSTR,OWNER,OPERNAME,POSREL,COMMODITY,INSTALL,REMOVAL,MANNED24HR,DISTLAND,WATERDEPTH,RIGCOUNT,PWRSOURCE,PWRGENFLAG,OILPRDFLAG,GASMTRFLAG,COMPREFLAG,COMPRDFLAG,HELPRTFLAG,BEDCOUNT,BLOCKNO,LEASENO,AREANUMBER,REGION,LOG_WDEPTH
GOM05708,1,OFFSHORE PLATFORM,REMOVED,29.197041928899999,-91.965159223499995,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23292,1,NOT AVAILABLE,"DEVON ENERGY PRODUCTION CO., LP",THIRD PARTY,NONE,1/1/1987 0:00:00,5/31/2002 0:00:00,N,24,25,0,U,N,N,N,N,U,N,-999,256,G04112,SM,GULF OF MEXICO,3.218875824868201
GOM05709,A,OFFSHORE PLATFORM,REMOVED,29.126379205300001,-91.780412494700002,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23293,1,NOT AVAILABLE,WALTER OIL & GAS CORP.,THIRD PARTY,NONE,1/1/1987 0:00:00,6/13/1990 0:00:00,N,23,22,-999,U,N,N,N,N,N,N,-999,90,G04824,EI,GULF OF MEXICO,3.091042453358316
GOM05710,9,OFFSHORE PLATFORM,REMOVED,28.969626157200000,-91.632453747000000,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23294,1,NOT AVAILABLE,"MARITECH RESOURCES, INC.",THIRD PARTY,NONE,1/1/1986 0:00:00,8/12/2011 0:00:00,N,30,50,0,U,N,N,N,N,U,N,-999,129,54,EI,GULF OF MEXICO,3.912023005428146
GOM05711,JA7,OFFSHORE PLATFORM,REMOVED,28.942535833899999,-91.610086677699996,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23295,1,NOT AVAILABLE,"ENERGY RESOURCE TECHNOLOGY, INC.",THIRD PARTY,NONE,1/1/1959 0:00:00,10/24/2002 0:00:00,N,33,55,0,U,N,N,N,N,N,N,-999,128A,442,EI,GULF OF MEXICO,4.007333185232471
GOM05712,7,OFFSHORE PLATFORM,REMOVED,28.967369183599999,-91.620818353800004,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23296,1,NOT AVAILABLE,DEVON LOUISIANA CORP.,THIRD PARTY,NONE,1/1/1987 0:00:00,8/11/2003 0:00:00,N,30,50,0,U,N,N,N,N,U,N,-999,129,54,EI,GULF OF MEXICO,3.912023005428146
GOM05713,A(REMOVED),OFFSHORE PLATFORM,REMOVED,28.835471799600001,-91.450435865499998,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23297,1,NOT AVAILABLE,DEVON ENERGY OPERATING CORP.,THIRD PARTY,NONE,1/1/1987 0:00:00,3/3/1997 0:00:00,N,50,60,0,U,N,N,Y,N,N,Y,-999,164,G04864,EI,GULF OF MEXICO,4.094344562222100
GOM05714,A,OFFSHORE PLATFORM,REMOVED,28.190133668300000,-91.767141361699998,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23298,1,NOT AVAILABLE,"DOMINION EXPLORATION & PRODUCTION, INC.",THIRD PARTY,NONE,1/1/1987 0:00:00,6/9/1995 0:00:00,N,93,265,-999,U,N,N,N,N,N,N,-999,336,G05521,EI,GULF OF MEXICO,5.579729825986222
GOM05715,3,OFFSHORE PLATFORM,REMOVED,29.019033579300000,-91.530007154499998,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23299,1,NOT AVAILABLE,ATLANTIC RICHFIELD CO.,THIRD PARTY,NONE,1/1/1987 0:00:00,10/11/1994 0:00:00,N,25,31,-999,U,N,N,N,N,U,N,-999,107,G03810,EI,GULF OF MEXICO,3.433987204485146
GOM05716,11,OFFSHORE PLATFORM,IN SERVICE,29.289041880100001,-91.828253165299998,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23300,1,NOT AVAILABLE,"CASTEX OFFSHORE, INC.",THIRD PARTY,NONE,1/1/1987 0:00:00,,N,12,21,0,U,N,N,N,N,U,N,-999,47,317,EI,GULF OF MEXICO,3.044522437723423
GOM05717,1,OFFSHORE PLATFORM,REMOVED,29.088872609500001,-92.157316219400002,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23301,1,NOT AVAILABLE,STONE ENERGY CORP.,THIRD PARTY,NONE,1/1/1985 0:00:00,5/7/2011 0:00:00,N,29,52,0,U,N,N,N,N,U,N,-999,275,G05477,SM,GULF OF MEXICO,3.951243718581428
GOM05718,4,OFFSHORE PLATFORM,REMOVED,29.303343903999998,-91.694077704500003,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23302,1,NOT AVAILABLE,"NORCEN EXPLORER, INC.",THIRD PARTY,NONE,1/1/1987 0:00:00,12/31/1989 0:00:00,N,12,16,-999,U,N,N,N,N,U,N,-999,29,G05038,EI,GULF OF MEXICO,2.772588722239781
GOM05719,10,OFFSHORE PLATFORM,REMOVED,28.973409040200000,-91.628064661799996,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23303,1,NOT AVAILABLE,DEVON LOUISIANA CORP.,THIRD PARTY,NONE,1/1/1987 0:00:00,11/10/2002 0:00:00,N,30,50,0,U,N,N,N,N,U,N,-999,116,478,EI,GULF OF MEXICO,3.912023005428146
GOM05720,A,OFFSHORE PLATFORM,REMOVED,28.716800659499999,-91.360751078099995,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23304,1,NOT AVAILABLE,"MILLENNIUM OFFSHORE GROUP, INC.",THIRD PARTY,NONE,1/1/1987 0:00:00,11/21/2010 0:00:00,N,55,70,0,U,N,N,N,N,U,Y,-999,190,G08434,EI,GULF OF MEXICO,4.248495242049359
GOM05721,2,OFFSHORE PLATFORM,REMOVED,29.340898504500000,-92.070123221200006,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23305,1,NOT AVAILABLE,"SOCO OFFSHORE, INC.",THIRD PARTY,NONE,1/1/1986 0:00:00,9/25/1999 0:00:00,N,11,19,0,U,N,N,N,N,U,N,-999,234,G04436,SM,GULF OF MEXICO,2.944438979166440
GOM05722,5,OFFSHORE PLATFORM,REMOVED,28.757770139500000,-91.893212454999997,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23306,1,NOT AVAILABLE,"DEVON ENERGY PRODUCTION CO., LP",THIRD PARTY,NONE,1/1/1987 0:00:00,2/23/2003 0:00:00,N,45,100,0,U,N,N,N,N,U,N,-999,48,786,SM,GULF OF MEXICO,4.605170185988092
GOM05723,139,OFFSHORE PLATFORM,IN SERVICE,29.327690851700002,-91.990844215699994,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23307,1,NOT AVAILABLE,CHEVRON USA INC.,THIRD PARTY,BOTH,1/1/1987 0:00:00,,N,13,18,0,U,N,Y,N,N,N,N,-999,236,310,SM,GULF OF MEXICO,2.890371757896165
GOM05724,B,OFFSHORE PLATFORM,REMOVED,28.064536910000001,-91.487043434699999,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23308,1,NOT AVAILABLE,"W & T OFFSHORE, INC.",THIRD PARTY,NONE,1/1/1987 0:00:00,10/30/2013 0:00:00,N,75,415,0,U,N,N,N,N,U,N,-999,371,G09601,EI,GULF OF MEXICO,6.028278520230698
GOM05725,9,OFFSHORE PLATFORM,REMOVED,29.033022424399999,-91.574978601100000,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23310,1,NOT AVAILABLE,APACHE CORP.,THIRD PARTY,NONE,1/1/1987 0:00:00,7/14/2012 0:00:00,N,23,26,0,U,N,N,N,N,U,N,-999,108,G03811,EI,GULF OF MEXICO,3.258096538021482
