PLATFRMID,NAME,TYPE,STATUS,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,COMPLEXID,NOSTR,OWNER,OPERNAME,POSREL,COMMODITY,INSTALL,REMOVAL,MANNED24HR,DISTLAND,WATERDEPTH,RIGCOUNT,PWRSOURCE,PWRGENFLAG,OILPRDFLAG,GASMTRFLAG,COMPREFLAG,COMPRDFLAG,HELPRTFLAG,BEDCOUNT,BLOCKNO,LEASENO,AREANUMBER,REGION,LOG_WDEPTH,INSTALL_DATE,INSTALL_YEAR,residuals
GOM00769,C,OFFSHORE PLATFORM,REMOVED,29.1840844202,-92.5696901883,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1270,1,NOT AVAILABLE,"ENERGY RESOURCE TECHNOLOGY GOM, INC.",THIRD PARTY,NONE,4/6/2003 0:00:00,4/28/2011 0:00:00,N,20,62,-999,U,U,N,U,U,U,Y,-999,100,G22616,VR,GULF OF MEXICO,4.127134385045092,2003-04-06,2003,0.6272707793179775
GOM00770,A,OFFSHORE PLATFORM,IN SERVICE,27.1866154501,-96.8057759482,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1271,1,NOT AVAILABLE,MCMORAN OIL & GAS LLC,THIRD PARTY,NATURAL GAS,8/26/2003 0:00:00,,N,33,203,0,U,U,N,Y,N,U,Y,-999,891,G23125,PN,GULF OF MEXICO,5.313205979041787,2003-08-26,2003,-0.7842614970928379
GOM00771,I,OFFSHORE PLATFORM,IN SERVICE,29.6249330771,-93.673235425,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1274,1,CHEVRON USA INC.,CHEVRON USA INC.,THIRD PARTY,BOTH,10/28/2003 0:00:00,,N,8,35,-999,D,Y,N,N,N,U,Y,-999,54,G22501,WC,GULF OF MEXICO,3.555348061489414,2003-10-28,2003,-0.04958088888090817
GOM00772,1,OFFSHORE PLATFORM,REMOVED,30.1157861156,-88.4074326593,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1275,1,NOT AVAILABLE,JX NIPPON OIL EXPLORATION (USA) LTD.,THIRD PARTY,NONE,12/27/2003 0:00:00,6/18/2008 0:00:00,N,20,54,0,O,Y,U,U,U,U,N,-999,862,G22820,MO,GULF OF MEXICO,3.988984046564275,2003-12-27,2003,1.0760777769340906
GOM00773,C,OFFSHORE PLATFORM,IN SERVICE,28.576991119,-94.9769129192,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1276,1,"BLACK ELK ENERGY OFFSHORE OPERATIONS, LLC","BLACK ELK ENERGY OFFSHORE OPERATIONS, LLC",THIRD PARTY,BOTH,5/29/2003 0:00:00,,Y,30,100,0,D,Y,N,Y,Y,N,Y,8,424,G22219,GA,GULF OF MEXICO,4.605170185988092,2003-05-29,2003,0.17200652312637565
GOM00774,C,OFFSHORE PLATFORM,REMOVED,28.9788823849,-92.5173853644,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1277,1,NOT AVAILABLE,"MARINER ENERGY, INC.",THIRD PARTY,NONE,5/19/2003 0:00:00,8/2/2011 0:00:00,N,20,90,0,U,U,U,N,U,U,N,-999,144,G23819,VR,GULF OF MEXICO,4.499809670330265,2003-05-19,2003,0.794270486221663
GOM00775,3,OFFSHORE PLATFORM,REMOVED,29.4310514236,-94.2113654313,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1278,1,NOT AVAILABLE,"MILLENNIUM OFFSHORE GROUP, INC.",THIRD PARTY,NONE,9/29/2003 0:00:00,6/14/2011 0:00:00,N,20,45,0,U,N,N,N,N,U,Y,-999,53,G20658,HI,GULF OF MEXICO,3.80666248977032,2003-09-29,2003,-0.0656630339074531
GOM00776,A,OFFSHORE PLATFORM,IN SERVICE,28.0893406435,-90.7370692129,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1279,1,"W & T OFFSHORE, INC.; BANDON OIL AND GAS, LP; FIELDWOOD ENERGY LLC","W & T OFFSHORE, INC.",THIRD PARTY,BOTH,5/28/2003 0:00:00,,Y,60,447,0,G,Y,Y,Y,Y,U,Y,8,316,G22762,ST,GULF OF MEXICO,6.102558594613569,2003-05-28,2003,0.06327630502799764
GOM00777,A,OFFSHORE PLATFORM,REMOVED,27.9923590263,-93.568562347,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1280,1,NOT AVAILABLE,XTO OFFSHORE INC.,THIRD PARTY,NONE,6/19/2003 0:00:00,5/26/2010 0:00:00,N,120,324,0,U,N,U,N,Y,U,Y,4,A 367,G23222,HI,GULF OF MEXICO,5.780743515792329,2003-06-19,2003,0.7820197522745556
GOM00778,A,OFFSHORE PLATFORM,IN SERVICE,28.8470480319,-90.688542445,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1281,1,TALOS ENERGY OFFSHORE LLC,TALOS ENERGY OFFSHORE LLC,THIRD PARTY,BOTH,4/21/2003 0:00:00,,N,13,60,0,U,N,Y,N,N,Y,Y,-999,22,G18054,PL,GULF OF MEXICO,4.0943445622221,2003-04-21,2003,-0.19798783177417523
